name,age,team,position,TOI,season
Scott Thornton,27,MTL,C,671.5333333333333,1998
Chris Wells,22,FLA,LW,734.6166666666667,1998
Zarley Zalapski,29,2TM,D,1256.85,1998
Zarley Zalapski,29,CGY,D,721.95,1998
Zarley Zalapski,29,MTL,D,534.9,1998
S̩bastien Bordeleau,22,MTL,C,487.23333333333335,1998
Tie Domi,28,TOR,RW,838.65,1998
Jim Dowd,29,CGY,C,610.3,1998
Karl Dykhuis,25,TBL,D,1660.5333333333333,1998
Viacheslav Fetisov,39,DET,D,1050.8333333333333,1998
Alexei Gusarov,33,COL,D,1438.6,1998
Jon Klemm,28,COL,D,935.75,1998
Todd Krygier,32,WSH,RW,593.6333333333333,1998
Jay McKee,20,BUF,D,1121.9833333333333,1998
Kelly Miller,34,WSH,RW,845.5166666666667,1998
Paul Ranheim,32,CAR,LW,818.2,1998
Darrin Shannon,28,PHX,LW,754.95,1998
Darren Van Impe,24,2TM,D,1049.5,1998
Darren Van Impe,24,MDA,D,300.25,1998
Darren Van Impe,24,BOS,D,749.25,1998
Randy Cunneyworth,36,OTT,LW,990.3833333333333,1998
Mike Knuble,25,DET,RW,523.6666666666666,1998
Scott Lachance,25,NYI,D,1403.6833333333334,1998
Jean-Yves Leroux,21,CHI,LW,622.3166666666667,1998
Mattias Norstr̦m,26,LAK,D,1531.9666666666667,1998
Jeff Odgers,28,COL,RW,477.4166666666667,1998
Scott Walker,24,VAN,C,517.0,1998
Todd Warriner,24,TOR,LW,596.2666666666667,1998
Andrei Zyuzin,20,SJS,D,986.05,1998
Brian Skrudland,34,2TM,C,958.2,1998
Brian Skrudland,34,NYR,C,806.0333333333333,1998
Brian Skrudland,34,DAL,C,152.16666666666666,1998
